"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30015758.1",1.87787687095695e-54,0.282482918621297,0.103,0.015,5.1949585758153e-50,"Secretory","SMED30015758"
"SMED30033565.7",7.52052778458849e-54,-1.19515390857246,0.097,0.369,2.08047880632856e-49,"Secretory","SMED30033565"
"SMED30025388.5",4.58073221868007e-53,-1.98700905284236,0.075,0.338,1.26721376097565e-48,"Secretory","SMED30025388"
"SMED30008835.1",5.8510812966226e-53,0.623502796004523,0.206,0.062,1.61864312989768e-48,"Secretory","SMED30008835"
"SMED30002166.1",1.69233617475623e-52,0.388444951592255,0.191,0.05,4.68167879384564e-48,"Secretory","SMED30002166"
"SMED30006119.2",2.31548809207878e-52,0.614386984610167,0.849,0.681,6.40556625792673e-48,"Secretory","SMED30006119"
"SMED30031823.6",6.38268955740095e-52,0.812816245340526,0.594,0.359,1.7657072391594e-47,"Secretory","SMED30031823"
"SMED30025634.5",1.36961877570092e-51,0.748829387790701,0.245,0.086,3.78891338109901e-47,"Secretory","SMED30025634"
"SMED30015622.1",3.01124647305056e-51,0.369858171445377,0.126,0.024,8.33031224304708e-47,"Secretory","SMED30015622"
"SMED30000522.1",3.72265296345089e-51,0.987707858106642,0.5,0.297,1.02983471580905e-46,"Secretory","SMED30000522"
"SMED30023963",4.76415675602299e-51,0.321981656177799,0.102,0.016,1.3179563249862e-46,"Secretory","SMED30023963"
"SMED30022433.1",4.97578449156502e-51,0.46951831128879,0.17,0.043,1.37650102174655e-46,"Secretory","SMED30022433"
"SMED30019772.1",1.11526281080453e-50,0.637620323711545,0.253,0.088,3.08526303980965e-46,"Secretory","SMED30019772"
"SMED30021549",1.84233596657887e-50,0.476298320641727,0.166,0.042,5.09663821794379e-46,"Secretory","SMED30021549"
"SMED30024316.5",2.22699678996503e-50,0.911212012374866,0.472,0.27,6.16076391975927e-46,"Secretory","SMED30024316"
"SMED30014539.6",2.48559047031417e-50,0.573057348611377,0.411,0.182,6.87613747707712e-46,"Secretory","SMED30014539"
"SMED30002080",5.26057868107413e-50,0.393952856643363,0.111,0.02,1.45528648633235e-45,"Secretory","SMED30002080"
"SMED30025952.3",1.26639618330025e-49,0.962784409747238,0.335,0.155,3.50335840148181e-45,"Secretory","SMED30025952"
"SMED30030360.1",4.46561788131692e-49,0.379076081743398,0.139,0.031,1.23536853068751e-44,"Secretory","SMED30030360"
"SMED30035193.6",1.86303485096385e-48,-0.743501302767151,0.982,0.966,5.15389961170639e-44,"Secretory","SMED30035193"
"SMED30026364.7",2.12091811544894e-48,-1.17703194518553,0.03,0.264,5.86730787457796e-44,"Secretory","SMED30026364"
"SMED30017135.6",2.18566352328965e-48,-0.858311862075821,0.364,0.603,6.04641957082849e-44,"Secretory","SMED30017135"
"SMED30015290.1",2.70937814054505e-48,0.397044007488068,0.132,0.028,7.49522368800382e-44,"Secretory","SMED30015290"
"SMED30024623",3.25466914207575e-48,0.44655814225325,0.151,0.037,9.00371671463835e-44,"Secretory","SMED30024623"
"SMED30010216.4",1.55659322466312e-47,0.608585934634957,0.853,0.737,4.30615949670805e-43,"Secretory","SMED30010216"
"SMED30032563.7",3.70914151763255e-47,-0.911045628531833,0.073,0.319,1.02609690943787e-42,"Secretory","SMED30032563"
"SMED30011050.4",3.77784023482784e-47,-0.890867936544187,0.221,0.506,1.04510172256277e-42,"Secretory","SMED30011050"
"SMED30026803.5",3.08073339357291e-46,-0.885362916934852,0.088,0.342,8.52254085998009e-42,"Secretory","SMED30026803"
"SMED30008295.6",4.41892700797491e-46,-0.70185221100358,0.675,0.775,1.22245196748618e-41,"Secretory","SMED30008295"
"SMED30012459",6.63855072548352e-46,0.306106399434373,0.108,0.02,1.83648867269776e-41,"Secretory","SMED30012459"
"SMED30018637.3",7.19115687324111e-46,0.330216482606596,0.999,0.995,1.98936163741342e-41,"Secretory","SMED30018637"
"SMED30025522.6",1.71711251750554e-45,-0.659489604855055,0.917,0.873,4.75022006842732e-41,"Secretory","SMED30025522"
"SMED30007406.6",3.20283450076917e-45,-1.52696356626249,0.43,0.591,8.86032136292784e-41,"Secretory","SMED30007406"
"SMED30035002.4",3.41286049390395e-45,0.817354014523466,0.651,0.488,9.44133727033588e-41,"Secretory","SMED30035002"
"SMED30014321",4.04238667802246e-45,0.379430911754155,0.103,0.019,1.11828585060813e-40,"Secretory","SMED30014321"
