"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30000562.4",2.71729699301151e-85,-0.898440428897254,0.014,0.244,7.51713040146703e-81,"Neuronal","SMED30000562"
"SMED30016739.1",4.91333421211851e-85,-0.522707987268667,0.105,0.401,1.35922477644047e-80,"Neuronal","SMED30016739"
"SMED30029297.2",4.92580257971672e-85,1.58813979890603,0.568,0.472,1.36267402565283e-80,"Neuronal","SMED30029297"
"SMED30032186.1",7.43416427862e-85,-0.495574652667544,0.142,0.461,2.05658720603744e-80,"Neuronal","SMED30032186"
"SMED30002156.3",1.04460613825023e-84,-0.577297387934075,0.229,0.587,2.88979842085543e-80,"Neuronal","SMED30002156"
"SMED30007284.2",1.42683383861872e-84,-0.593785934713,0.093,0.378,3.94719313115482e-80,"Neuronal","SMED30007284"
"SMED30026097.1",2.87740656664567e-84,-0.526929538121003,0.079,0.358,7.96005752596857e-80,"Neuronal","SMED30026097"
"SMED30026629.1",4.05262243440195e-84,-0.50850411378177,0.07,0.341,1.12111747025296e-79,"Neuronal","SMED30026629"
"SMED30022314.4",5.88466727578235e-84,-0.651364979270682,0.167,0.481,1.62793435517243e-79,"Neuronal","SMED30022314"
"SMED30033354.3",1.11435716578385e-83,-0.547782043190724,0.22,0.576,3.08275766342444e-79,"Neuronal","SMED30033354"
"SMED30029716.4",1.88729084763573e-83,-0.585212464222308,0.398,0.747,5.2210014008995e-79,"Neuronal","SMED30029716"
"SMED30024910.3",2.37625711655324e-83,-0.477571226911879,0.108,0.402,6.57367768723289e-79,"Neuronal","SMED30024910"
"SMED30006979.4",2.61510868101096e-83,-0.797456349262756,0.045,0.292,7.23443665514871e-79,"Neuronal","SMED30006979"
"SMED30014204.2",3.29263575067698e-83,-0.617055295291614,0.366,0.709,9.10874754067281e-79,"Neuronal","SMED30014204"
"SMED30029770.3",4.31905417228358e-83,-0.575855988560179,0.457,0.795,1.19482314622053e-78,"Neuronal","SMED30029770"
"SMED30008579.3",6.01543811271688e-83,-0.719216689693513,0.481,0.771,1.664110799502e-78,"Neuronal","SMED30008579"
"SMED30020343.3",9.26712253212384e-83,0.962528949904898,0.333,0.146,2.56365677728674e-78,"Neuronal","SMED30020343"
"SMED30010890",1.3547077823119e-82,-0.564693851730394,0.341,0.722,3.74766360898763e-78,"Neuronal","SMED30010890"
"SMED30032195",1.83269604451355e-82,0.68259456494263,0.132,0.024,5.06997033754229e-78,"Neuronal","SMED30032195"
"SMED30006959.2",2.0181070764185e-82,-0.522198056721745,0.092,0.376,5.58289141620413e-78,"Neuronal","SMED30006959"
