"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30024232",4.23301537551323e-52,0.257921217108194,0.456,0.264,1.17102137348198e-47,"AP-6","SMED30024232"
"SMED30001807.4",6.60356915320558e-51,0.307319501025058,0.99,0.93,1.82681137054279e-46,"AP-6","SMED30001807"
"SMED30019948.4",9.40475283562689e-50,-0.405254472144278,0.552,0.343,2.60173082444782e-45,"AP-6","SMED30019948"
"SMED30022453.1",6.91247938699339e-49,0.32608821428233,0.903,0.773,1.91226829761785e-44,"AP-6","SMED30022453"
"SMED30005552.3",2.07091623698296e-48,0.323464134779214,0.623,0.427,5.72898267798967e-44,"AP-6","SMED30005552"
"SMED30035848",4.972321789763e-48,0.294866420769464,0.946,0.842,1.37554309992004e-43,"AP-6","SMED30035848"
"SMED30010969.3",9.83943191684574e-48,0.257224460947545,0.953,0.867,2.72198044547621e-43,"AP-6","SMED30010969"
"SMED30002285.4",4.08345614000387e-47,0.338799409332619,0.624,0.428,1.12964730657067e-42,"AP-6","SMED30002285"
"SMED30035769.3",4.6212896224217e-44,0.2505305764825,0.928,0.822,1.27843356114674e-39,"AP-6","SMED30035769"
"SMED30010111.5",5.64112895856001e-42,-0.371161520677221,0.702,0.497,1.56056191509604e-37,"AP-6","SMED30010111"
"SMED30006263.1",1.04801940387437e-40,-0.303787453551265,0.8,0.618,2.89924087887807e-36,"AP-6","SMED30006263"
"SMED30010375.1",1.2498928463348e-39,0.334144060255786,0.951,0.866,3.45770357010059e-35,"AP-6","SMED30010375"
"SMED30034836",2.46713275913816e-35,-0.267442762116496,0.508,0.306,6.8250760648798e-31,"AP-6","SMED30034836"
"SMED30027385.2",3.69856611296941e-30,-0.43619233559436,0.998,0.975,1.02317132949186e-25,"AP-6","SMED30027385"
"SMED30010459.5",5.62994499655253e-30,-0.443502618487459,0.273,0.143,1.55746798384629e-25,"AP-6","SMED30010459"
"SMED30029969.5",7.77496095734807e-28,-1.24814587816108,0.871,0.674,2.15086519924077e-23,"AP-6","SMED30029969"
"SMED30023762.5",8.42925491922863e-27,-1.47807851215806,0.905,0.736,2.33186908085541e-22,"AP-6","SMED30023762"
"SMED30003676.4",1.50845081569115e-24,-0.561393265073931,0.197,0.305,4.17297833652799e-20,"AP-6","SMED30003676"
"SMED30029103.1",9.76800005258564e-24,-0.460691082827355,0.948,0.889,2.70221953454729e-19,"AP-6","SMED30029103"
"SMED30011034.4",3.07097696123778e-23,-0.576800277925822,0.306,0.395,8.49555066556819e-19,"AP-6","SMED30011034"
"SMED30013776.5",3.76367764072969e-23,-1.51362235479789,0.908,0.748,1.04118378253146e-18,"AP-6","SMED30013776"
"SMED30021979.5",6.75153657048681e-22,-1.36177713666515,0.785,0.578,1.86774507685947e-17,"AP-6","SMED30021979"
"SMED30001595.4",9.53321320671329e-22,-0.578675138774715,0.335,0.219,2.63726810150517e-17,"AP-6","SMED30001595"
"SMED30033930.2",2.28014829102919e-21,-0.36621793963557,0.952,0.901,6.30780223230316e-17,"AP-6","SMED30033930"
"SMED30011206.5",2.38164925884829e-20,-1.32744795980587,0.771,0.578,6.58859450967791e-16,"AP-6","SMED30011206"
"SMED30004645.5",2.44082971754107e-20,-1.33213804251331,0.734,0.532,6.7523113306056e-16,"AP-6","SMED30004645"
"SMED30008672.5",6.41662143911389e-20,-1.25330320808693,0.718,0.51,1.77509415491647e-15,"AP-6","SMED30008672"
"SMED30014684.5",3.45357398183884e-19,-1.11315330302501,0.717,0.512,9.55396706335898e-15,"AP-6","SMED30014684"
"SMED30011012.2",4.7810152411501e-19,-0.391861380180838,0.508,0.355,1.32262005631176e-14,"AP-6","SMED30011012"
"SMED30032991.5",7.753981879886e-18,-1.67088145155406,0.823,0.644,2.14506154725166e-13,"AP-6","SMED30032991"
"SMED30024665.2",2.56835319282879e-17,-0.266398523478242,0.993,0.947,7.10509227264156e-13,"AP-6","SMED30024665"
"SMED30006281",5.68815079537396e-17,-0.264053047389771,0.946,0.881,1.57357003603225e-12,"AP-6","SMED30006281"
"SMED30022629.3",7.04133819132118e-17,-0.594867069680605,0.386,0.261,1.94791579724709e-12,"AP-6","SMED30022629"
"SMED30001301.2",1.57710290334962e-16,-0.299009372353086,0.411,0.272,4.36289747182638e-12,"AP-6","SMED30001301"
"SMED30017410.1",1.90364340553112e-16,-0.487264305476797,0.967,0.9,5.26623911706128e-12,"AP-6","SMED30017410"
