"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30027307",3.80898831107442e-29,-0.48332991892646,0.833,0.904,1.05371852637563e-24,"AP-3","SMED30027307"
"SMED30014866",3.90068795705578e-29,-0.292319323213861,0.056,0.21,1.07908631643991e-24,"AP-3","SMED30014866"
"SMED30017441.1",4.78842519983314e-29,-0.294736363304295,0.016,0.148,1.32466994728184e-24,"AP-3","SMED30017441"
"SMED30004574",6.81319562224694e-29,-0.488634661880174,0.34,0.525,1.88480243693839e-24,"AP-3","SMED30004574"
"SMED30025952",7.43147862576976e-29,-0.321982896149993,0.62,0.739,2.05584424703295e-24,"AP-3","SMED30025952"
"SMED30025925",7.86988883350238e-29,-0.54846661502687,0.832,0.919,2.1771260469001e-24,"AP-3","SMED30025925"
"SMED30010111.1",9.02041741495521e-29,-0.773084499339062,0.188,0.364,2.49540827367321e-24,"AP-3","SMED30010111"
"SMED30023533.1",1.04298608324635e-28,-0.297889915904535,0.017,0.149,2.88531670069271e-24,"AP-3","SMED30023533"
"SMED30001801",1.06382806046266e-28,-0.299326064243447,0.926,0.966,2.9429739464639e-24,"AP-3","SMED30001801"
"SMED30000108.1",1.97014456886201e-28,-0.28835617914608,0.48,0.62,5.45020793529988e-24,"AP-3","SMED30000108"
"SMED30032833.1",2.15439778560443e-28,-0.519462993989575,0.822,0.892,5.95992603409609e-24,"AP-3","SMED30032833"
"SMED30031582",2.1894242566768e-28,-0.273034644317097,0.114,0.276,6.05682326367071e-24,"AP-3","SMED30031582"
"SMED30006311",2.20563951151892e-28,-0.544411158842009,0.907,0.953,6.10168114466594e-24,"AP-3","SMED30006311"
"SMED30016871.1",2.27462619031749e-28,-0.407634948615587,0.141,0.314,6.2925258928943e-24,"AP-3","SMED30016871"
"SMED30023860.1",3.06336729165616e-28,-0.584904333180715,0.781,0.867,8.4744992756376e-24,"AP-3","SMED30023860"
"SMED30027302",3.12035694930782e-28,-0.334189004788,0.96,0.985,8.63215546456515e-24,"AP-3","SMED30027302"
"SMED30035336",3.19338345785947e-28,-0.306275824737843,0.66,0.766,8.83417599782243e-24,"AP-3","SMED30035336"
"SMED30021589.1",4.75233431442318e-28,-0.302613924096673,0.182,0.366,1.31468576474203e-23,"AP-3","SMED30021589"
"SMED30016265",5.74361203929161e-28,-0.49199122958892,0.952,0.972,1.58891283454963e-23,"AP-3","SMED30016265"
"SMED30017430.1",6.53858217212222e-28,-0.688344119504796,0.994,0.998,1.80883337209589e-23,"AP-3","SMED30017430"
"SMED30005040.1",7.5651832221495e-28,-0.422745454826523,0.012,0.137,2.09283228657544e-23,"AP-3","SMED30005040"
"SMED30005552",7.64035275011606e-28,-0.406698552638069,0.423,0.58,2.11362718479211e-23,"AP-3","SMED30005552"
"SMED30019948.1",1.05232745068749e-27,-1.06050866707541,0.439,0.601,2.91115865958187e-23,"AP-3","SMED30019948"
"SMED30004589.1",2.28661568287354e-27,-0.473555446891379,0.02,0.148,6.32569362510136e-23,"AP-3","SMED30004589"
"SMED30035317",2.74198306658284e-27,-0.312209605512786,0.848,0.906,7.58542195539477e-23,"AP-3","SMED30035317"
"SMED30009076",3.32237839931597e-27,-0.840191652969573,0.996,0.998,9.19102760386769e-23,"AP-3","SMED30009076"
"SMED30031715",3.94680793774815e-27,-0.324781147747808,0.653,0.755,1.09184494789865e-22,"AP-3","SMED30031715"
"SMED30026131.1",6.31679779391686e-27,-0.345289252838748,0.78,0.855,1.74747894170916e-22,"AP-3","SMED30026131"
"SMED30001376",6.3777050986282e-27,-0.557576518552101,0.575,0.696,1.76432833848451e-22,"AP-3","SMED30001376"
"SMED30034369.1",6.71035065110809e-27,-1.00262206306581,0.113,0.261,1.85635140412254e-22,"AP-3","SMED30034369"
"SMED30034859.1",7.27320146927441e-27,-0.775223605312449,0.312,0.461,2.01205845446007e-22,"AP-3","SMED30034859"
"SMED30009541",1.36934173095325e-26,-0.332569483000569,0.769,0.866,3.78814696450907e-22,"AP-3","SMED30009541"
"SMED30016420",3.30922258178656e-26,-0.294577881815101,0.414,0.554,9.15463335025434e-22,"AP-3","SMED30016420"
"SMED30021105",4.17998562562958e-26,-0.511157224512591,0.99,0.993,1.15635122347417e-21,"AP-3","SMED30021105"
"SMED30002983",6.69739903205493e-26,-0.522513391160267,0.822,0.877,1.85276846822768e-21,"AP-3","SMED30002983"
"SMED30015528.1",8.63069367846705e-26,-1.00240792303027,0.116,0.263,2.38759509921113e-21,"AP-3","SMED30015528"
"SMED30021983",8.68410902011107e-26,-0.312791816862089,0.174,0.337,2.40237191932353e-21,"AP-3","SMED30021983"
"SMED30015100",1.55938367773972e-25,-0.296944084887163,0.152,0.303,4.31387900609915e-21,"AP-3","SMED30015100"
"SMED30008531",1.56589459626859e-25,-0.257779835412,0.02,0.142,4.33189081111743e-21,"AP-3","SMED30008531"
"SMED30019678.1",1.82147230669226e-25,-0.719932465255941,0.152,0.315,5.03892098923347e-21,"AP-3","SMED30019678"
"SMED30027112.1",1.93127182748664e-25,-0.716101223586769,0.057,0.192,5.34267038355903e-21,"AP-3","SMED30027112"
"SMED30021098",2.15695802631674e-25,-0.309675991606547,0.327,0.485,5.96700868400263e-21,"AP-3","SMED30021098"
"SMED30027500.1",2.41786416979076e-25,-0.295824000304534,0.66,0.796,6.68877943930915e-21,"AP-3","SMED30027500"
"SMED30010294.1",3.91928916767731e-25,-0.410639223847321,0.511,0.631,1.08423215534625e-20,"AP-3","SMED30010294"
"SMED30019451",3.94409321321322e-25,-0.268672050629635,0.408,0.568,1.0910939465033e-20,"AP-3","SMED30019451"
"SMED30013168",7.58233423602463e-25,-0.312340931611762,0.239,0.412,2.09757694305385e-20,"AP-3","SMED30013168"
"SMED30009618",8.4110351465259e-25,-0.268554286121876,0.104,0.249,2.32682876293492e-20,"AP-3","SMED30009618"
"SMED30011827",1.8981812661166e-24,-0.276035594613535,0.364,0.527,5.25112865458496e-20,"AP-3","SMED30011827"
